Z,U,Iu,Iv,Iw,xLu,xLv,xLw
0.0635,15.98624181,0.161304534,0.140443138,0.086192536,0.919201917,0.461353272,0.109374082
0.0762,16.11753521,0.157531901,0.138213525,0.085737304,0.914865888,0.449334939,0.112087932
0.0889,16.1825192,0.150471472,0.134763712,0.087301341,0.920605497,0.448933124,0.123922199
0.1016,16.30401594,0.14794472,0.133833421,0.087885152,0.897032027,0.439080454,0.127266451
0.1143,16.41064988,0.146171012,0.132563487,0.088148611,0.904310284,0.434002715,0.13695732
0.127,16.631703,0.142176101,0.130265068,0.088371975,0.918492314,0.438619128,0.149341555
0.1397,16.78919508,0.138051471,0.128123905,0.089250112,0.941515244,0.427757499,0.158578269
0.1524,16.93515328,0.135433711,0.126133592,0.089885602,0.963288252,0.414739481,0.166338394
0.1651,17.0505966,0.133144498,0.124504407,0.090993306,0.932690665,0.401828209,0.17826724
0.1778,17.18825178,0.131505943,0.12234055,0.091831384,0.933898544,0.388015757,0.196035993
0.1905,17.28121152,0.13055533,0.121077648,0.092558434,0.96079776,0.381519186,0.205426631
0.2032,17.40163855,0.129272062,0.119927618,0.092872594,0.9638202,0.370900908,0.209870372
0.2159,17.46646823,0.12807468,0.118473453,0.093397331,0.980404694,0.362056367,0.219065697
0.2286,17.52745154,0.126865296,0.117124891,0.093853962,0.954585425,0.35102536,0.215473766
0.2413,17.62912597,0.125275615,0.116524635,0.094538736,0.942894357,0.341420407,0.214216579
0.254,17.70563193,0.125416292,0.115641358,0.095225529,1.001744957,0.332839175,0.221897636
0.2667,17.77116627,0.124893885,0.114891399,0.095940332,1.001045394,0.326516801,0.221500909
0.2794,17.85087337,0.124483481,0.114041472,0.096179372,1.014930184,0.321444452,0.213504971
0.2921,17.86843951,0.123635554,0.113724438,0.096649245,0.999142973,0.314918798,0.211787041
0.3048,17.90052089,0.124015979,0.11280502,0.09719237,0.993315664,0.305800825,0.213993777
0.3175,17.94465389,0.123301701,0.112661883,0.098357568,0.985805681,0.303260301,0.210322519
0.3302,18.02379816,0.123222033,0.112559563,0.098477422,0.967464574,0.301964766,0.216982777
0.3429,18.07830684,0.123555733,0.112588672,0.099293097,1.049638973,0.300087672,0.226335487
0.3556,18.11235372,0.12394208,0.112079542,0.099925588,1.135087412,0.295273263,0.233684836
0.3683,18.21032202,0.123834749,0.111236591,0.100247841,1.073382215,0.289271977,0.234569673
0.381,18.28036442,0.123827636,0.110885663,0.100493674,1.105441415,0.285983297,0.242996376
0.3937,18.35550062,0.123751985,0.110728767,0.100887861,1.13207744,0.283491189,0.256128858
0.4191,18.47856118,0.123300015,0.109737756,0.100861967,1.149793289,0.276071483,0.253083567
0.4699,18.6328709,0.122313152,0.10936194,0.100739519,1.150775964,0.281787868,0.257991826
0.508,18.78890799,0.12195394,0.107913304,0.099795231,1.159524257,0.273520864,0.26244576
0.5334,18.91762206,0.121414225,0.106595176,0.099677199,1.199651863,0.273247261,0.256815601
0.5842,19.06710419,0.120726724,0.105760324,0.099265247,1.132980143,0.271327281,0.253575524
0.635,19.24567397,0.1203003,0.104171042,0.09859517,1.076829075,0.266778921,0.252544093
0.6731,19.41503697,0.118239763,0.103032282,0.097409012,1.055701081,0.265479315,0.249859579
0.7112,19.61682078,0.116934275,0.101434076,0.09628848,1.012556129,0.264554518,0.245860909
0.7493,19.78842246,0.115440965,0.100124565,0.095231526,0.976950509,0.264428341,0.238544308
0.8128,19.96906535,0.113744579,0.098584175,0.093919514,0.948974085,0.266157762,0.235216287
0.8763,20.1553919,0.111629112,0.096657402,0.092023121,0.916784957,0.268740332,0.230327408
0.9144,20.36384621,0.109413364,0.094884809,0.090315685,0.884909628,0.271342672,0.228113437
0.9652,20.60152293,0.107394347,0.092583501,0.088076883,0.847805156,0.273197262,0.225755995
1.016,20.84868053,0.104480084,0.090073438,0.085401225,0.851067888,0.276205846,0.224792803
1.0668,21.06306399,0.101676268,0.087955631,0.082634845,0.820283011,0.284914329,0.221472221
1.1176,21.16289421,0.100796301,0.086863628,0.081638332,0.806704989,0.287731331,0.222189023
1.2192,21.27392352,0.099199767,0.085760955,0.080245466,0.787645017,0.290957203,0.221752202
1.27,21.4183227,0.097766931,0.084051945,0.078531808,0.783890979,0.294480899,0.22212849
1.4732,21.55408216,0.09606408,0.082842951,0.076711822,0.759970773,0.302290038,0.220836702
